Just	Just	av-j	Just	just	0
"	"	"	"	"	0
9th	9th	ord	9th	9th	0
.	.	.	.	.	1
I	I	pns11	I	I	0
rang	rang	vvd	rang	ring	0
the	the	dt	the	the	0
bell	bell	n1	bell	bell	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
shown	shown	vvn	shown	show	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
chamber	chamber	n1	chamber	chamber	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
formerly	formerly	av-j	formerly	former	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
my	my	po11	my	my	0
own	own	d	own	own	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
quarter-past	quarter-past	j	quarter-past	quarter-past	0
nine	nine	crd	nine	nine	0
when	when	c-crq	when	when	0
I	I	pns11	I	I	0
started	started	vvd	started	start	0
from	from	p-acp	from	from	0
home	home	n1-an	home	home	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
my	my	po11	my	my	0
way	way	n1	way	way	0
across	across	p-acp	across	across	0
the	the	dt	the	the	0
Park	Park	n1	Park	park	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
through	through	p-acp	through	through	0
Oxford	Oxford	np1	Oxford	Oxford	0
Street	Street	np-n1	Street	Street	0
to	to	p-acp	to	to	0
Baker	Baker	np1	Baker	Baker	0
Street	Street	np-n1	Street	Street	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
a	a	dt	a	a	0
man	man	n1	man	man	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
perhaps	perhaps	av	perhaps	perhaps	0
better	better	j	better	better	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
knee	knee	n1	knee	knee	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
trouser	trouser	n1	trouser	trouser	0
.	.	.	.	.	1
You	You	pn22	You	you	0
see	see	vvb	see	see	0
how	how	c-crq	how	how	0
quickly	quickly	av-j	quickly	quick	0
the	the	dt	the	the	0
deed	deed	n1	deed	deed	0
followed	followed	vvd	followed	follow	0
the	the	dt	the	the	0
sign	sign	n1	sign	sign	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
Dundee	Dundee	np1	Dundee	Dundee	0
.	.	.	.	.	1
"	"	"	"	"	0
But	But	cc-acp	But	but	0
what	what	q-crq	what	what	0
,	,	,	,	,	0
then	then	av	then	then	0
,	,	,	,	,	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
gipsies	gipsies	n2	gipsies	gipsy	0
do	do	vdb	do	do	0
?	?	?	?	?	0
"	"	"	"	"	1
"	"	"	"	"	0
Surely	Surely	av-j	Surely	sure	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
difficult	difficult	j	difficult	difficult	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
.	.	.	.	.	1
The	The	dt	The	the	0
official	official	j-jn	official	official	0
detective	detective	n1	detective	detective	0
was	was	vbds	was	be	0
attired	attired	vvn	attired	attire	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
pea-jacket	pea-jacket	n1	pea-jacket	pea-jacket	0
and	and	cc	and	and	0
cravat	cravat	n1	cravat	cravat	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
gave	gave	vvd	gave	give	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
decidedly	decidedly	av-vvn	decidedly	decide	0
nautical	nautical	j	nautical	nautical	0
appearance	appearance	n1	appearance	appearance	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
carried	carried	vvd	carried	carry	0
a	a	dt	a	a	0
black	black	j-jn	black	black	0
canvas	canvas	n1	canvas	canvas	0
bag	bag	n1	bag	bag	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
My	My	po11	My	my	0
own	own	d	own	own	0
complete	complete	j	complete	complete	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
home-centred	home-centred	j	home-centred	home-centred	0
interests	interests	n2	interests	interest	0
which	which	r-crq	which	which	0
rise	rise	vvb	rise	rise	0
up	up	a-acp	up	up	0
around	around	a-acp	around	around	0
the	the	dt	the	the	0
man	man	n1	man	man	0
who	who	r-crq	who	who	0
first	first	ord	first	first	0
finds	finds	vvz	finds	find	0
himself	himself	px31	himself	himself	0
master	master	n1	master	master	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
establishment	establishment	n1	establishment	establishment	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
absorb	absorb	vvi	absorb	absorb	0
all	all	d	all	all	0
my	my	po11	my	my	0
attention	attention	n1	attention	attention	0
,	,	,	,	,	0
while	while	cs	while	while	0
Holmes	Holmes	np1	Holmes	Holmes	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
loathed	loathed	vvd	loathed	loathe	0
every	every	d	every	every	0
form	form	n1	form	form	0
of	of	pp-f	of	of	0
society	society	n1	society	society	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
whole	whole	j-jn	whole	whole	0
Bohemian	Bohemian	jp	Bohemian	Bohemian	0
soul	soul	n1	soul	soul	0
,	,	,	,	,	0
remained	remained	vvd	remained	remain	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
lodgings	lodgings	n2	lodgings	lodging	0
in	in	p-acp	in	in	0
Baker	Baker	np1	Baker	Baker	0
Street	Street	np-n1	Street	Street	0
,	,	,	,	,	0
buried	buried	vvn	buried	bury	0
among	among	p-acp	among	among	0
his	his	po31	his	his	0
old	old	j	old	old	0
books	books	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
alternating	alternating	vvg	alternating	alternate	0
from	from	p-acp	from	from	0
week	week	n1	week	week	0
to	to	p-acp	to	to	0
week	week	n1	week	week	0
between	between	p-acp	between	between	0
cocaine	cocaine	n1	cocaine	cocaine	0
and	and	cc	and	and	0
ambition	ambition	n1	ambition	ambition	0
,	,	,	,	,	0
the	the	dt	the	the	0
drowsiness	drowsiness	n1	drowsiness	drowsiness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
drug	drug	n1	drug	drug	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fierce	fierce	j	fierce	fierce	0
energy	energy	n1	energy	energy	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
keen	keen	j	keen	keen	0
nature	nature	n1	nature	nature	0
.	.	.	.	.	1
"	"	"	"	"	0
There	There	pc-acp	There	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
little	little	j	little	little	0
passage	passage	n1	passage	passage	0
in	in	p-acp	in	in	0
front	front	n1	front	front	0
of	of	pp-f	of	of	0
me	me	pno11	me	I	0
,	,	,	,	,	0
unpapered	unpapered	j	unpapered	unpapered	0
and	and	cc	and	and	0
uncarpeted	uncarpeted	j	uncarpeted	uncarpeted	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
turned	turned	vvd	turned	turn	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
angle	angle	n1	angle	angle	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
farther	farther	jc	farther	farther	0
end	end	n1	end	end	0
.	.	.	.	.	1
"	"	"	"	"	0
Of	Of	pp-f	Of	of	0
course	course	n1	course	course	0
there	there	a-acp	there	there	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
gang	gang	n1	gang	gang	0
.	.	.	.	.	0
"	"	"	"	"	1
You	You	pn22	You	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
material	material	j-jn	material	material	0
assistance	assistance	n1	assistance	assistance	0
to	to	p-acp	to	to	0
me	me	pno11	me	I	0
.	.	.	.	.	0
"	"	"	"	"	1
"	"	"	"	"	0
But	But	cc-acp	But	but	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
innocent	innocent	j-jn	innocent	innocent	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
has	has	vhz	has	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
?	?	?	?	?	0
"	"	"	"	"	1
"	"	"	"	"	0
So	So	av	So	so	0
much	much	av-d	much	much	0
for	for	p-acp	for	for	0
Mr.	Mr.	n1	Mr.	mr.	0
Henry	Henry	np1	Henry	Henry	0
Baker	Baker	np1	Baker	Baker	0
,	,	,	,	,	0
"	"	"	"	"	0
said	said	vvd	said	say	0
Holmes	Holmes	np1	Holmes	Holmes	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
closed	closed	vvn	closed	close	0
the	the	dt	the	the	0
door	door	n1	door	door	0
behind	behind	p-acp	behind	behind	0
him	him	pno31	him	he	0
.	.	.	.	.	1
She	She	pns31	She	she	0
responded	responded	vvn	responded	respond	0
beautifully	beautifully	av-j	beautifully	beautiful	0
.	.	.	.	.	1
"	"	"	"	"	0
I	I	pns11	I	I	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
making	making	vvg	making	make	0
a	a	dt	a	a	0
fool	fool	n1	fool	fool	0
of	of	pp-f	of	of	0
myself	myself	px11	myself	myself	0
,	,	,	,	,	0
"	"	"	"	"	0
he	he	pns31	he	he	0
gasped	gasped	vvd	gasped	gasp	0
.	.	.	.	.	1
"	"	"	"	"	0
'	'	'	'	'	0
Thank	Thank	vvb	Thank	thank	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Maggie	Maggie	np1	Maggie	Maggie	0
,	,	,	,	,	0
'	'	'	'	'	0
says	says	vvz	says	say	0
I	I	pns11	I	I	0
;	;	;	;	;	0
'	'	'	'	'	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
all	all	d	all	all	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I'd	I'd	pns11|vmd	I'd	I|will	0
rather	rather	av-c	rather	rather	0
have	have	vhi	have	have	0
that	that	d	that	that	0
one	one	crd	one	one	0
I	I	pns11	I	I	0
was	was	vbds	was	be	0
handling	handling	vvg	handling	handle	0
just	just	av-j	just	just	0
now	now	av	now	now	0
.	.	.	.	.	0
'	'	'	'	'	1
"	"	"	"	"	0
Now	Now	av	Now	now	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Holmes	Holmes	np1	Holmes	Holmes	0
,	,	,	,	,	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
people	people	n1	people	people	0
who	who	r-crq	who	who	0
live	live	vvb	live	live	0
under	under	p-acp	under	under	0
my	my	po11	my	my	0
roof	roof	n1	roof	roof	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	I	0
shall	shall	vmb	shall	shall	0
continue	continue	vvi	continue	continue	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
miserable	miserable	j	miserable	miserable	0
story	story	n1	story	story	0
.	.	.	.	.	1
He	He	pns31	He	he	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
small	small	j	small	small	0
,	,	,	,	,	0
wiry	wiry	j	wiry	wiry	0
,	,	,	,	,	0
sunburnt	sunburnt	j-vvn	sunburnt	sunburn	0
man	man	n1	man	man	0
,	,	,	,	,	0
clean-shaven	clean-shaven	j	clean-shaven	clean-shaven	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
sharp	sharp	j	sharp	sharp	0
face	face	n1	face	face	0
and	and	cc	and	and	0
alert	alert	j	alert	alert	0
manner	manner	n1	manner	manner	0
.	.	.	.	.	1
"	"	"	"	"	0
I	I	pns11	I	I	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
,	,	,	,	,	0
"	"	"	"	"	0
said	said	vvd	said	say	0
Holmes	Holmes	np1	Holmes	Holmes	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
climbed	climbed	vvd	climbed	climb	0
the	the	dt	the	the	0
stile	stile	n1	stile	stile	0
,	,	,	,	,	0
"	"	"	"	"	0
that	that	cst	that	that	0
this	this	d	this	this	0
fellow	fellow	n1	fellow	fellow	0
should	should	vmd	should	shall	0
think	think	vvi	think	think	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
come	come	vvn	come	come	0
here	here	av	here	here	0
as	as	c-acp	as	as	0
architects	architects	n2	architects	architect	0
,	,	,	,	,	0
or	or	cc	or	or	0
on	on	p-acp	on	on	0
some	some	d	some	some	0
definite	definite	j	definite	definite	0
business	business	n1	business	business	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
lovely	lovely	j	lovely	lovely	0
country	country	n1	country	country	0
,	,	,	,	,	0
my	my	po11	my	my	0
 dear	dear	j-jn	dear	dear	0
young	young	j	young	young	0
lady	lady	n1	lady	lady	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
dearest	dearest	js-jn	dearest	dear	0
old	old	j	old	old	0
country-house	country-house	n1	country-house	country-house	0
.	.	.	.	.	0
'	'	'	'	'	1
"	"	"	"	"	0
And	And	cc	And	and	0
your	your	po22	your	your	0
mother	mother	n1	mother	mother	0
is	is	vbz	is	be	0
alive	alive	j	alive	alive	0
?	?	?	?	?	0
"	"	"	"	"	1
"	"	"	"	"	0
Pooh	Pooh	uh	Pooh	pooh	0
,	,	,	,	,	0
pooh	pooh	uh	pooh	pooh	0
!	!	!	!	!	1
"	"	"	"	"	0
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
of	of	pp-f	of	of	0
mine	mine	n1	mine	mine	0
here	here	av	here	here	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Isa	Isa	np1	Isa	Isa	0
Whitney	Whitney	np1	Whitney	Whitney	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	I	0
wish	wish	vvb	wish	wish	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
.	.	.	.	.	0
"	"	"	"	"	1
"	"	"	"	"	0
But	But	cc-acp	But	but	0
pray	pray	vvb	pray	pray	0
tell	tell	vvb	tell	tell	0
me	me	pno11	me	I	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
we	we	pns12	we	we	0
go	go	vvb	go	go	0
farther	farther	av-jc	farther	farther	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
I	I	pns11	I	I	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
pleasure	pleasure	n1	pleasure	pleasure	0
of	of	pp-f	of	of	0
assisting	assisting	vvg	assisting	assist	0
.	.	.	.	.	0
"	"	"	"	"	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
barmaid	barmaid	j	barmaid	barmaid	0
wife	wife	n1	wife	wife	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
spent	spent	vvn	spent	spend	0
the	the	dt	the	the	0
last	last	ord	last	last	0
three	three	crd	three	three	0
days	days	n2	days	day	0
in	in	p-acp	in	in	0
Bristol	Bristol	np1	Bristol	Bristol	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
father	father	n1	father	father	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
.	.	.	.	.	1
"	"	"	"	"	0
No	No	uh-x	No	no	0
legal	legal	j	legal	legal	0
papers	papers	n2	papers	paper	0
or	or	cc	or	or	0
certificates	certificates	n2	certificates	certificate	0
?	?	?	?	?	0
"	"	"	"	"	1
Then	Then	av	Then	then	0
there	there	a-acp	there	there	0
are	are	vbb	are	be	0
successive	successive	j	successive	successive	0
entries	entries	n2	entries	entry	0
that	that	cst	that	that	0
A	A	sy	A	a	0
and	and	cc	and	and	0
B	B	sy	B	b	0
cleared	cleared	vvn	cleared	clear	0
,	,	,	,	,	0
or	or	cc	or	or	0
left	left	vvd	left	leave	0
the	the	dt	the	the	0
country	country	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
finally	finally	av-j	finally	final	0
that	that	cst	that	that	0
C	C	sy	C	c	0
was	was	vbds	was	be	0
visited	visited	vvn	visited	visit	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
I	I	pns11	I	I	0
fear	fear	vvb	fear	fear	0
,	,	,	,	,	0
a	a	dt	a	a	0
sinister	sinister	j	sinister	sinister	0
result	result	n1	result	result	0
for	for	p-acp	for	for	0
C	C	sy	C	c	0
.	.	.	.	.	1
Well	Well	uh-av	Well	well	0
,	,	,	,	,	0
I	I	pns11	I	I	0
think	think	vvb	think	think	0
,	,	,	,	,	0
Doctor	Doctor	n1	Doctor	doctor	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
let	let	vvi	let	let	0
some	some	d	some	some	0
light	light	n1	light	light	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
dark	dark	j	dark	dark	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	I	0
believe	believe	vvb	believe	believe	0
that	that	cst	that	that	0
the	the	dt	the	the	0
only	only	j	only	only	0
chance	chance	n1	chance	chance	0
young	young	j	young	young	0
Openshaw	Openshaw	np1	Openshaw	Openshaw	0
has	has	vhz	has	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meantime	meantime	n1-an	meantime	meantime	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
what	what	r-crq	what	what	0
I	I	pns11	I	I	0
have	have	vhb	have	have	0
told	told	vvn	told	tell	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Between	Between	p-acp	Between	between	0
a	a	dt	a	a	0
slop-shop	slop-shop	n1	slop-shop	slop-shop	0
and	and	cc	and	and	0
a	a	dt	a	a	0
gin-shop	gin-shop	n1	gin-shop	gin-shop	0
,	,	,	,	,	0
approached	approached	vvd	approached	approach	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
steep	steep	j	steep	steep	0
flight	flight	n1	flight	flight	0
of	of	pp-f	of	of	0
steps	steps	n2	steps	step	0
leading	leading	vvg	leading	lead	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
black	black	j-jn	black	black	0
gap	gap	n1	gap	gap	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
cave	cave	n1	cave	cave	0
,	,	,	,	,	0
I	I	pns11	I	I	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
den	den	n1	den	den	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	I	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
search	search	n1	search	search	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
then	then	av	then	then	0
?	?	?	?	?	1
"	"	"	"	"	0
Because	Because	c-acp	Because	because	0
there	there	pc-acp	there	there	0
are	are	vbb	are	be	0
many	many	d	many	many	0
inquiries	inquiries	n2	inquiries	inquiry	0
which	which	r-crq	which	which	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
out	out	av	out	out	0
here	here	av	here	here	0
.	.	.	.	.	1
"	"	"	"	"	0
Well	Well	uh-av	Well	well	0
,	,	,	,	,	0
now	now	av	now	now	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
considering	considering	vvg	considering	consider	0
this	this	d	this	this	0
case	case	n1	case	case	0
there	there	pc-acp	there	there	0
are	are	vbb	are	be	0
two	two	crd	two	two	0
points	points	n2	points	point	0
about	about	p-acp	about	about	0
young	young	j	young	young	0
McCarthy's	McCarthy's	npg1	McCarthy's	McCarthy	0
narrative	narrative	n-jn	narrative	narrative	0
which	which	r-crq	which	which	0
struck	struck	vvd	struck	strike	0
us	us	pno12	us	we	0
both	both	d	both	both	0
instantly	instantly	av-jn	instantly	instant	0
,	,	,	,	,	0
although	although	cs	although	although	0
they	they	pns32	they	they	0
impressed	impressed	vvn	impressed	impress	0
me	me	pno11	me	I	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
against	against	p-acp	against	against	0
him	him	pno31	him	he	0
.	.	.	.	.	1
"	"	"	"	"	0
Two	Two	crd	Two	two	0
days	days	n2	days	day	0
later	later	jc	later	late	0
this	this	d	this	this	0
same	same	d	same	same	0
performance	performance	n1	performance	performance	0
was	was	vbds	was	be	0
gone	gone	vvn	gone	go	0
through	through	a-acp	through	through	0
under	under	p-acp	under	under	0
exactly	exactly	av-j	exactly	exact	0
similar	similar	j	similar	similar	0
circumstances	circumstances	n2	circumstances	circumstance	0
.	.	.	.	.	1
I	I	pns11	I	I	0
gave	gave	vvd	gave	give	0
a	a	dt	a	a	0
cry	cry	n1	cry	cry	0
of	of	pp-f	of	of	0
surprise	surprise	n1	surprise	surprise	0
,	,	,	,	,	0
threw	threw	vvd	threw	throw	0
up	up	a-acp	up	up	0
my	my	po11	my	my	0
arms	arms	n2	arms	arm	0
to	to	pc-acp	to	to	0
cover	cover	vvi	cover	cover	0
my	my	po11	my	my	0
face	face	n1	face	face	0
,	,	,	,	,	0
and	and	cc	and	and	0
,	,	,	,	,	0
rushing	rushing	vvg	rushing	rush	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
confidant	confidant	n1	confidant	confidant	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lascar	Lascar	np1	Lascar	LASCAR	0
,	,	,	,	,	0
entreated	entreated	vvd	intreated	entreat	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
anyone	anyone	pi	anyone	anyone	0
from	from	p-acp	from	from	0
coming	coming	vvg	coming	come	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
me	me	pno11	me	I	0
.	.	.	.	.	1
"	"	"	"	"	0
I	I	pns11	I	I	0
can	can	vmb	can	can	0
quite	quite	av	quite	quite	0
understand	understand	vvi	understand	understand	0
your	your	po22	your	your	0
thinking	thinking	vvg	thinking	think	0
so	so	av	so	so	0
,	,	,	,	,	0
"	"	"	"	"	0
I	I	pns11	I	I	0
said	said	vvd	said	say	0
.	.	.	.	.	1
Sherlock	Sherlock	np1	Sherlock	Sherlock	0
Holmes	Holmes	np1	Holmes	Holmes	0
stopped	stopped	vvd	stopped	stop	0
in	in	p-acp	in	in	0
front	front	n1	front	front	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
head	head	n1	head	head	0
on	on	p-acp	on	on	0
one	one	crd	one	one	0
side	side	n1	side	side	0
and	and	cc	and	and	0
looked	looked	vvd	looked	look	0
it	it	pn31	it	it	0
all	all	d	all	all	0
over	over	a-acp	over	over	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
eyes	eyes	n2	eyes	eye	0
shining	shining	vvg	shining	shine	0
brightly	brightly	av-j	brightly	bright	0
between	between	p-acp	between	between	0
puckered	puckered	j-vvn	puckered	pucker	0
lids	lids	n2	lids	lid	0
.	.	.	.	.	1
'	'	'	'	'	0
For	For	p-acp	For	for	0
the	the	dt	the	the	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
!	!	!	!	!	0
'	'	'	'	'	1
Our	Our	po12	Our	our	0
client	client	n1	client	client	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
had	had	vhd	had	have	0
hurried	hurried	vvn	hurried	hurry	0
forward	forward	av-j	forward	forward	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
face	face	n1	face	face	0
which	which	r-crq	which	which	0
spoke	spoke	vvd	spoke	speak	0
her	her	po31	her	her	0
joy	joy	n1	joy	joy	0
.	.	.	.	.	1
"	"	"	"	"	0
'	'	'	'	'	0
Why	Why	q-crq	Why	why	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
think	think	vvi	think	think	0
that	that	cst	that	that	0
I	I	pns11	I	I	0
lock	lock	vvb	lock	lock	0
this	this	d	this	this	0
door	door	n1	door	door	0
?	?	?	?	?	0
'	'	'	'	'	1
Out	Out	av	Out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
window	window	n1	window	window	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
apparently	apparently	av-j	apparently	apparent	0
have	have	vhi	have	have	0
gone	gone	vvn	gone	go	0
for	for	p-acp	for	for	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
exit	exit	n1	exit	exit	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
ominous	ominous	j	ominous	ominous	0
bloodstains	bloodstains	vvz	bloodstains	bloodstain	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sill	sill	n1	sill	sill	0
gave	gave	vvd	gave	give	0
little	little	j	little	little	0
promise	promise	n1	promise	promise	0
